store_id,uptime_last_hour,uptime_last_day,uptime_last_week,downtime_last_hour,downtime_last_day,downtime_last_week
00017c6a-7a77-4a95-bb2d-40647868aff6,20.25,8.1,56.7,5.97,2.39,16.73
000bba84-20af-4a8b-b68a-368922cc6ad1,0.0,0.0,0.0,0.0,0.0,0.0
003222af-0b64-4f8c-b5c3-d2dc24636f02,0.0,0.0,0.0,0.0,0.0,0.0
00505ad5-7cf5-42f1-a7e4-252e42273e77,27.44,10.98,76.83,4.46,1.78,12.49
0059ffee-d90a-4355-afd3-b14e7030d2a5,29.74,11.9,83.27,3.07,1.23,8.59
006006cb-7763-42bb-af62-0101f6bc2de1,24.55,9.82,68.73,6.14,2.46,17.2
0066c6a3-6a89-40a1-b11f-64526666c771,0.0,0.0,0.0,0.0,0.0,0.0
006c9910-9126-4bb9-b5d8-cd37bc14790b,0.0,0.0,0.0,58.54,23.42,163.92
007257d2-73df-4c35-8a67-859f988b63f0,25.25,10.1,70.69,6.69,2.68,18.73
007a6957-bf78-4062-9a01-b39641f0c126,22.86,9.14,64.0,7.12,2.85,19.92
